user_id,item_id,item_name,playtime_forever
PrototypeRifle5,12900,Audiosurf,663
benjaminalan,360,Half-Life Deathmatch: Source,8
76561198065661382,220,Half-Life 2,969
c0nt4g10n,730,Counter-Strike: Global Offensive,58159
Hosea1811,203140,Hitman: Absolution,2893
76561197972180709,301910,Saints Row: Gat out of Hell,832
76561198061611219,332800,Five Nights at Freddy's 2,793
How51,316010,Magic Duels,261
ItsDerRey,377160,Fallout 4,7000
76561198131748854,730,Counter-Strike: Global Offensive,18697
Killerbadboys,206210,Gotham City Impostors: Free To Play,2044
76561198088000520,730,Counter-Strike: Global Offensive,45353
76561198056640740,730,Counter-Strike: Global Offensive,23755
76561198044788018,730,Counter-Strike: Global Offensive,61304
76561198080610062,8930,Sid Meier's Civilization V,10967
76561197969314107,261030,The Walking Dead: Season Two,1087
gabethedoggod,24240,PAYDAY: The Heist,627
76561198096849086,70,Half-Life,679
whisperrrrrrr,730,Counter-Strike: Global Offensive,211693
76561198026040814,222750,Wargame: AirLand Battle,371
playergdgsd,10,Counter-Strike,86
SFort,388080,Borderless Gaming,4105
Denzham,310370,The Way of Life Free Edition,5
76561198081460850,209870,Blacklight: Retribution,6681
GenoCross,230410,Warframe,52039
MAC_CAB,273350,Evolve Stage 2,135
Zestayy,730,Counter-Strike: Global Offensive,68043
SuccForCancer,8930,Sid Meier's Civilization V,22101
yolofaceguy,261030,The Walking Dead: Season Two,1190
kaybeegee,730,Counter-Strike: Global Offensive,75739
76561198083323152,24240,PAYDAY: The Heist,4911
PraiseDuarte,264380,Narcissu 1st & 2nd,25
76561198072505649,730,Counter-Strike: Global Offensive,55793
yungwind,230410,Warframe,37620
senpai_the_slutty,550,Left 4 Dead 2,4174
styletypes,400,Portal,277
mrhuffenpuff,203140,Hitman: Absolution,773
76561198049415770,550,Left 4 Dead 2,606
76561198037696460,12900,Audiosurf,125
projecteldor,730,Counter-Strike: Global Offensive,108652
76561198074635811,730,Counter-Strike: Global Offensive,43221
_SNS_,32400,STAR WARS™: Dark Forces,13
mresprofile,730,Counter-Strike: Global Offensive,72668
58254410,730,Counter-Strike: Global Offensive,43205
nene_oficial,730,Counter-Strike: Global Offensive,9317
76561198090446169,230410,Warframe,5307
279519365,730,Counter-Strike: Global Offensive,84897
3dster,550,Left 4 Dead 2,352
jaeek,332800,Five Nights at Freddy's 2,401
purpledragonfun,300,Day of Defeat: Source,2315
76561198069536565,203140,Hitman: Absolution,1996
76561198008026450,9200,RAGE,2132
76561198073589985,208480,Assassin's Creed® III,4153
Zigzagvin,250900,The Binding of Isaac: Rebirth,391
76561198089722795,239660,Soldier Front 2,1765
76561198083163238,65980,Sid Meier's Civilization: Beyond Earth,20055
76561198072929556,204450,Call of Juarez Gunslinger,279
Gumby32,332800,Five Nights at Freddy's 2,68
daszero,550,Left 4 Dead 2,588
76561198072186503,730,Counter-Strike: Global Offensive,9130
76561198069606418,220,Half-Life 2,390
funnysuntadm,550,Left 4 Dead 2,4563
76561198083654102,230410,Warframe,9800
IISantaII,55230,Saints Row: The Third,26205
Burpingferet,48800,Ship Simulator Extremes,73
nimatha,230410,Warframe,5930
thepedrochamp,250900,The Binding of Isaac: Rebirth,20406
76561198103635105,730,Counter-Strike: Global Offensive,82004
Pineapplesarereallytasty,97100,Section 8: Prejudice,116
cryingwolfie,235800,Audiosurf 2,80
Ranneko,209370,Analogue: A Hate Story,130
FittedMushroom,34900,Bad Rats,36
76561198079353526,1250,Killing Floor,1505
Letachal,207610,The Walking Dead,1138
KerrisB,230410,Warframe,57267
76561198076481365,200510,XCOM: Enemy Unknown,379
WarEagle247,333930,Dirty Bomb,961
76561198062331003,550,Left 4 Dead 2,2312
dandan472,730,Counter-Strike: Global Offensive,23494
dead_slayer,730,Counter-Strike: Global Offensive,100101
CptFake,230410,Warframe,3226
NotRoyston,730,Counter-Strike: Global Offensive,35995
76561197983875214,730,Counter-Strike: Global Offensive,74545
stevedude911,8930,Sid Meier's Civilization V,11156
BlazingTheAmazing,730,Counter-Strike: Global Offensive,18398
Baronlord,207610,The Walking Dead,2482
fazz,20,Team Fortress Classic,50121
GAHK,420,Half-Life 2: Episode Two,901
channel28,63380,Sniper Elite V2,517
weaselthing,240,Counter-Strike: Source,16266
niggerfag,730,Counter-Strike: Global Offensive,20047
76561198050407999,730,Counter-Strike: Global Offensive,17594
76561198075915471,8930,Sid Meier's Civilization V,2490
