release_date,generos,playtime_forever
1998,Action,1395
1998,Action,590
1998,Action,5599
1998,Action,5599
1998,Action,5599
1998,Action,5599
1998,Action,64
1998,Action,3235
1998,Action,1301
1998,Action,21
1998,Action,1459
1998,Action,1303
1998,Action,609
1998,Action,29
1998,Action,779
1998,Action,1268
1998,Action,2867
1998,Action,15
1998,Action,612
1998,Action,896
1998,Action,717
1998,Action,837
1998,Action,1080
1998,Action,21
1998,Action,1732
1998,Action,1131
1998,Action,762
1998,Action,696
1998,Action,335
1998,Action,1148
1998,Action,1977
1998,Action,580
1998,Action,629
1998,Action,679
1998,Action,586
1998,Action,810
1998,Action,22
1998,Action,286
1998,Action,257
1998,Action,855
1998,Action,1632
1998,Action,1395
1998,Action,254
1998,Action,1059
1998,Action,1522
1998,Action,79
1998,Action,846
1998,Action,5713
1998,Action,1199
1998,Action,924
2005,Action,361
2006,Racing,248
2006,Racing,2172
2006,Racing,37
2006,Racing,2691
2006,Racing,572
2005,Racing,54
2005,Racing,18
2006,Action,47
2006,Action,4169
2006,Action,776
2006,Action,13
1995,Action,27
1995,Action,18
1995,Action,234
1995,Action,356
1995,Action,10192
1995,Action,109
1995,Action,225
1995,Action,14
1994,Action,18
1994,Action,1
1994,Action,15
1994,Action,6
1994,Action,416
1994,Action,107
2007,Action,344
2007,Action,1008
2007,Action,160
2006,Strategy,97
2006,Strategy,57
2006,Strategy,92
2006,Strategy,453
2006,Strategy,2041
2006,Strategy,2041
2006,Strategy,2041
2006,Strategy,2041
2006,Strategy,2353
2006,Strategy,521
2006,Strategy,350
2006,Strategy,289
2006,Strategy,215
2006,Strategy,3575
2006,Strategy,6192
2006,Strategy,861
2006,Strategy,11869
2006,Strategy,11315
2006,Strategy,3396
2006,Strategy,1348
2006,Strategy,118
2006,Strategy,7085
2006,Strategy,6491
2004,Strategy,277
2004,Strategy,9918
2004,Strategy,55
2004,Strategy,9662
2004,Strategy,492
2004,Strategy,5786
2004,Strategy,6140
2004,Strategy,3695
2004,Strategy,2672
2004,Strategy,882
2004,Strategy,883
2004,Strategy,4239
2004,Strategy,4248
2004,Strategy,605
2004,Strategy,9754
2004,Action,418
2003,Action,381
2001,Action,44
2001,Action,619
2001,Action,114
2001,Action,207
2008,Strategy,1412
2008,Strategy,1750
2008,Strategy,10332
2008,Strategy,2549
2008,Strategy,3596
2008,Strategy,2602
2008,Strategy,1514
2008,Strategy,2327
2008,Strategy,1730
2008,Strategy,3428
2007,Casual,724
2007,Casual,423
2006,Simulation,36
1998,Action,902
2003,Action,6
2004,Action,2302
2004,Action,361
2004,Action,673
2004,Action,17
2007,Simulation,443
2006,Simulation,664
2006,Simulation,40
2006,Simulation,2082
2006,Simulation,36
2006,Simulation,460
2006,Simulation,1087
2005,Adventure,145
2008,Racing,2028
2008,Racing,1835
2008,Racing,644
1998,Adventure,104
1998,Adventure,57
1998,Adventure,265
1997,Adventure,2
1997,Adventure,981
1997,Adventure,56
1997,Adventure,226
1997,Adventure,302
1997,Adventure,759
1997,Adventure,181
1997,Adventure,82
1997,Adventure,126
1997,Adventure,73
1997,Adventure,149
1997,Adventure,302
1997,Adventure,1135
1997,Adventure,255
1997,Adventure,105
1997,Adventure,89
2001,Strategy,67
1997,Strategy,849
1993,Strategy,1
2008,Action,415
2008,Action,334
2007,Action,734
2007,Action,558
2007,Action,323
2007,Action,1497
2007,Action,151
2007,Action,595
2007,Action,1046
2007,Action,754
1998,Strategy,2805
2008,Strategy,1218
2003,Action,941
2008,Action,2713
2008,Action,431
2008,Action,103
2006,Racing,45
2008,Indie,100
2008,Indie,385
2008,Indie,331
2008,Indie,12
2008,Indie,176
2008,Indie,6
2008,Indie,21
2008,Action,1331
2008,Action,5766
2008,Action,1175
2008,Action,776
2008,Action,776
2008,Action,776
2008,Action,776
2008,Action,72
2008,Action,1023
2008,Action,41
2008,Action,599
2008,Action,1244
2008,Action,1193
2008,Action,136
2008,Action,1683
2009,Action,2693
2009,Action,14430
2009,Action,6881
2009,Action,90
2009,Action,623
2009,Action,2443
2009,Action,2049
2009,Action,3833
2009,Action,203
2009,Action,2503
2009,Action,1338
2009,Action,9585
2009,Action,1
2009,Action,1756
2009,Action,8007
2009,Action,872
2009,Action,934
2009,Action,566
2009,Action,3569
2009,Action,119
2009,Action,3045
2009,Action,872
2009,Action,10099
2009,Action,2272
2009,Action,10390
2009,Action,16
2009,Action,287
2009,Action,1373
2009,Action,4469
2009,Action,227
2009,Action,434
2009,Action,691
2009,Action,895
2008,Action,1276
2008,Action,1066
2008,Action,17
2008,Action,312
2008,Action,932
2008,Action,0
2008,Action,509
2008,Action,412
2008,Action,1619
2008,Action,733
2008,Action,172
2008,Action,616
2008,Action,67
2009,Action,253
2005,Strategy,1196
2005,Strategy,625
2007,Action,540
2007,Action,1737
2007,Action,5
2009,Racing,2621
2009,Racing,1408
2009,Racing,774
2009,Racing,1133
2009,Racing,932
2009,Racing,1089
2009,Racing,2695
2009,Racing,1274
2009,Racing,1274
2009,Racing,1274
2009,Racing,1274
2009,Racing,1582
2009,Racing,1582
2009,Racing,1582
2009,Racing,1582
2009,Racing,64
2009,Racing,1327
2009,Racing,773
2009,Racing,715
2009,Racing,1721
2009,Racing,210
2009,Racing,483
2009,Racing,312
2009,Racing,4221
2009,Racing,699
2009,Racing,84
2009,Racing,1791
2009,Racing,331
2009,Racing,2372
2009,Racing,745
2009,Racing,82
2009,Racing,2259
2009,Racing,753
2009,Racing,489
2009,Racing,573
2009,Racing,1015
2009,RPG,1359
2009,RPG,1701
2009,RPG,2171
2009,Racing,80
2007,RPG,96
2007,RPG,16788
2007,RPG,1451
2007,RPG,4947
2007,RPG,266
