item_id,item_name,recommend,sentimiento,año_posted
70,Half-Life,1,2,2015
70,Half-Life,1,0,2011
70,Half-Life,1,2,2014
70,Half-Life,1,2,2014
70,Half-Life,1,2,2014
70,Half-Life,1,2,2014
70,Half-Life,1,2,2013
70,Half-Life,1,2,2013
70,Half-Life,1,0,2014
70,Half-Life,1,2,2013
70,Half-Life,1,1,2015
70,Half-Life,1,1,2014
70,Half-Life,1,0,2015
70,Half-Life,1,2,2014
70,Half-Life,1,0,2015
70,Half-Life,1,2,2014
70,Half-Life,1,2,2014
70,Half-Life,1,2,2014
70,Half-Life,1,1,2014
70,Half-Life,1,2,2013
70,Half-Life,1,2,2015
70,Half-Life,1,0,2014
70,Half-Life,1,0,2014
70,Half-Life,1,2,2014
70,Half-Life,1,2,2015
70,Half-Life,1,2,2012
70,Half-Life,1,1,2014
70,Half-Life,1,2,2011
70,Half-Life,1,2,2014
70,Half-Life,1,2,2014
70,Half-Life,1,0,2015
70,Half-Life,1,0,2014
70,Half-Life,1,2,2014
70,Half-Life,1,0,2015
70,Half-Life,1,2,2013
70,Half-Life,1,2,2014
70,Half-Life,1,2,2015
70,Half-Life,1,1,2015
70,Half-Life,1,2,2015
70,Half-Life,1,2,2014
70,Half-Life,1,2,2014
70,Half-Life,1,1,2012
70,Half-Life,1,2,2013
70,Half-Life,1,2,2013
70,Half-Life,1,2,2013
70,Half-Life,1,2,2014
70,Half-Life,1,2,2014
70,Half-Life,1,2,2014
70,Half-Life,1,2,2015
70,Half-Life,1,0,2015
3800,Advent Rising,1,2,2014
2990,FlatOut 2,1,0,2013
2990,FlatOut 2,1,2,2014
2990,FlatOut 2,1,1,2014
2990,FlatOut 2,1,2,2015
2990,FlatOut 2,1,2,2014
6220,FlatOut,1,2,2013
6220,FlatOut,1,2,2015
6550,Devil May Cry 3: Special Edition,1,0,2014
6550,Devil May Cry 3: Special Edition,1,1,2014
6550,Devil May Cry 3: Special Edition,1,0,2014
6550,Devil May Cry 3: Special Edition,0,0,2014
2280,The Ultimate DOOM,1,0,2013
2280,The Ultimate DOOM,1,2,2015
2280,The Ultimate DOOM,1,2,2015
2280,The Ultimate DOOM,1,0,2015
2280,The Ultimate DOOM,1,2,2014
2280,The Ultimate DOOM,1,2,2014
2280,The Ultimate DOOM,1,2,2015
9160,Master Levels for DOOM II,1,0,2014
2300,DOOM II: Hell on Earth,1,2,2015
2300,DOOM II: Hell on Earth,1,2,2010
2270,Wolfenstein 3D,1,2,2015
2270,Wolfenstein 3D,1,1,2012
2270,Wolfenstein 3D,1,0,2015
2270,Wolfenstein 3D,1,2,2014
2310,Quake,1,0,2015
2310,Quake,1,2,2014
2310,Quake,1,1,2012
4570,"Warhammer 40,000: Dawn of War - Game of the Year Edition",1,2,2015
4570,"Warhammer 40,000: Dawn of War - Game of the Year Edition",1,2,2015
4570,"Warhammer 40,000: Dawn of War - Game of the Year Edition",1,2,2014
4570,"Warhammer 40,000: Dawn of War - Game of the Year Edition",1,2,2013
4570,"Warhammer 40,000: Dawn of War - Game of the Year Edition",1,2,2013
4570,"Warhammer 40,000: Dawn of War - Game of the Year Edition",1,2,2013
4570,"Warhammer 40,000: Dawn of War - Game of the Year Edition",1,2,2013
4570,"Warhammer 40,000: Dawn of War - Game of the Year Edition",1,2,2013
4570,"Warhammer 40,000: Dawn of War - Game of the Year Edition",1,2,2014
4570,"Warhammer 40,000: Dawn of War - Game of the Year Edition",1,2,2015
4570,"Warhammer 40,000: Dawn of War - Game of the Year Edition",1,2,2014
4570,"Warhammer 40,000: Dawn of War - Game of the Year Edition",1,0,2014
4580,"Warhammer 40,000: Dawn of War ‚Äì Dark Crusade",1,2,2014
4580,"Warhammer 40,000: Dawn of War ‚Äì Dark Crusade",1,1,2012
4580,"Warhammer 40,000: Dawn of War ‚Äì Dark Crusade",1,1,2015
4580,"Warhammer 40,000: Dawn of War ‚Äì Dark Crusade",1,2,2015
4580,"Warhammer 40,000: Dawn of War ‚Äì Dark Crusade",1,2,2015
4580,"Warhammer 40,000: Dawn of War ‚Äì Dark Crusade",1,2,2014
4580,"Warhammer 40,000: Dawn of War ‚Äì Dark Crusade",1,1,2014
4580,"Warhammer 40,000: Dawn of War ‚Äì Dark Crusade",1,2,2014
4580,"Warhammer 40,000: Dawn of War ‚Äì Dark Crusade",1,2,2014
4580,"Warhammer 40,000: Dawn of War ‚Äì Dark Crusade",1,2,2014
4580,"Warhammer 40,000: Dawn of War ‚Äì Dark Crusade",1,2,2014
4760,Rome: Total War,1,2,2011
4760,Rome: Total War,1,2,2014
4760,Rome: Total War,1,1,2015
4760,Rome: Total War,1,2,2012
4760,Rome: Total War,1,0,2015
4760,Rome: Total War,1,0,2013
4760,Rome: Total War,1,2,2013
4760,Rome: Total War,1,0,2014
4760,Rome: Total War,1,2,2015
4760,Rome: Total War,1,2,2014
4760,Rome: Total War,1,1,2013
4760,Rome: Total War,1,1,2013
4760,Rome: Total War,1,2,2015
4760,Rome: Total War,1,2,2013
4760,Rome: Total War,1,2,2015
12130,Manhunt,1,0,2014
12150,Max Payne 2: The Fall of Max Payne,0,1,2015
12140,Max Payne,1,0,2014
12140,Max Payne,1,2,2013
12140,Max Payne,1,0,2015
12140,Max Payne,1,2,2014
17480,Command and Conquer: Red Alert 3,1,2,2015
17480,Command and Conquer: Red Alert 3,1,1,2015
