release_date,recommend,sentimiento,año_posted
1998,1,2,2015
1998,1,0,2011
1998,1,2,2014
1998,1,2,2014
1998,1,2,2014
1998,1,2,2014
1998,1,2,2013
1998,1,2,2013
1998,1,0,2014
1998,1,2,2013
1998,1,1,2015
1998,1,1,2014
1998,1,0,2015
1998,1,2,2014
1998,1,0,2015
1998,1,2,2014
1998,1,2,2014
1998,1,2,2014
1998,1,1,2014
1998,1,2,2013
1998,1,2,2015
1998,1,0,2014
1998,1,0,2014
1998,1,2,2014
1998,1,2,2015
1998,1,2,2012
1998,1,1,2014
1998,1,2,2011
1998,1,2,2014
1998,1,2,2014
1998,1,0,2015
1998,1,0,2014
1998,1,2,2014
1998,1,0,2015
1998,1,2,2013
1998,1,2,2014
1998,1,2,2015
1998,1,1,2015
1998,1,2,2015
1998,1,2,2014
1998,1,2,2014
1998,1,1,2012
1998,1,2,2013
1998,1,2,2013
1998,1,2,2013
1998,1,2,2014
1998,1,2,2014
1998,1,2,2014
1998,1,2,2015
1998,1,0,2015
2005,1,2,2014
2006,1,0,2013
2006,1,2,2014
2006,1,1,2014
2006,1,2,2015
2006,1,2,2014
2005,1,2,2013
2005,1,2,2015
2006,1,0,2014
2006,1,1,2014
2006,1,0,2014
2006,0,0,2014
1995,1,0,2013
1995,1,2,2015
1995,1,2,2015
1995,1,0,2015
1995,1,2,2014
1995,1,2,2014
1995,1,2,2015
1995,1,0,2014
1994,1,2,2015
1994,1,2,2010
1994,1,2,2015
1994,1,1,2012
1994,1,0,2015
1994,1,2,2014
2007,1,0,2015
2007,1,2,2014
2007,1,1,2012
2006,1,2,2015
2006,1,2,2015
2006,1,2,2014
2006,1,2,2013
2006,1,2,2013
2006,1,2,2013
2006,1,2,2013
2006,1,2,2013
2006,1,2,2014
2006,1,2,2015
2006,1,2,2014
2006,1,0,2014
2006,1,2,2014
2006,1,1,2012
2006,1,1,2015
2006,1,2,2015
2006,1,2,2015
2006,1,2,2014
2006,1,1,2014
2006,1,2,2014
2006,1,2,2014
2006,1,2,2014
2006,1,2,2014
2004,1,2,2011
2004,1,2,2014
2004,1,1,2015
2004,1,2,2012
2004,1,0,2015
2004,1,0,2013
2004,1,2,2013
2004,1,0,2014
2004,1,2,2015
2004,1,2,2014
2004,1,1,2013
2004,1,1,2013
2004,1,2,2015
2004,1,2,2013
2004,1,2,2015
2004,1,0,2014
2003,0,1,2015
2001,1,0,2014
2001,1,2,2013
2001,1,0,2015
2001,1,2,2014
2008,1,2,2015
2008,1,1,2015
2008,1,2,2014
2008,1,2,2015
2008,1,1,2015
2008,1,2,2013
2008,1,2,2013
2008,1,2,2012
2008,1,2,2013
2008,1,2,2015
2007,1,2,2011
2007,1,2,2011
2006,0,1,2015
1998,1,2,2015
2003,0,1,2014
2004,1,2,2012
2004,1,2,2014
2004,0,0,2014
2004,1,2,2015
2007,1,2,2014
2006,1,2,2015
2006,0,2,2014
2006,1,2,2015
2006,1,2,2010
2006,1,2,2014
2006,1,1,2014
2005,1,2,2014
2008,1,2,2014
2008,1,2,2013
2008,1,2,2014
1998,1,2,2011
1998,1,2,2014
1998,1,2,2015
1997,1,2,2011
1997,1,2,2014
1997,1,2,2014
1997,1,2,2014
1997,1,2,2014
1997,1,2,2013
1997,1,2,2015
1997,1,2,2015
1997,1,1,2015
1997,1,2,2012
1997,1,1,2015
1997,1,2,2014
1997,1,2,2014
1997,1,2,2013
1997,1,0,2014
1997,1,2,2014
2001,1,0,2014
1997,1,2,2012
1993,1,2,2011
2008,1,1,2015
2008,1,2,2012
2007,1,2,2014
2007,1,0,2015
2007,1,2,2014
2007,1,2,2015
2007,0,2,2014
2007,1,0,2014
2007,1,0,2014
2007,0,0,2014
1998,1,2,2013
2008,1,0,2013
2003,1,2,2014
2008,1,0,2012
2008,1,2,2015
2008,1,2,2014
2006,1,2,2014
2008,1,2,2014
2008,1,2,2014
2008,1,2,2012
2008,1,2,2013
2008,1,2,2014
2008,1,2,2013
2008,0,0,2015
2008,1,2,2013
2008,0,2,2014
2008,1,0,2014
2008,1,2,2014
2008,1,2,2014
2008,1,2,2014
2008,1,2,2014
2008,0,0,2015
2008,1,1,2014
2008,0,1,2014
2008,1,2,2014
2008,1,2,2015
2008,1,2,2013
2008,0,0,2014
2008,1,1,2013
2009,1,2,2015
2009,1,1,2014
2009,0,2,2014
2009,1,0,2014
2009,1,2,2015
2009,1,2,2015
2009,1,2,2015
2009,1,2,2014
2009,0,0,2015
2009,1,1,2015
2009,1,1,2015
2009,1,2,2014
2009,1,2,2011
2009,1,2,2011
2009,1,1,2015
2009,1,2,2014
2009,1,2,2015
2009,1,1,2015
2009,1,2,2013
2009,1,1,2014
